recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2067,70,8053,neck,pink,315 Raj,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
R2068,70,8053,neck,purple,88 Royal,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
R2069,70,8053,neck,red,731 Royal,MMD Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
R2070,70,8053,neck,yellow,190 Raj,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
R2074,71,6049,neck+daman+astin,gajri,701 Royal,186 Raj,727 S Royal,49 LL Royal,,,,Jeetubhai Images\OS New folder (6) Images\6049 Daman 250.JPG,C/G,high
R2075,71,6049,neck+daman+astin,green,186 Raj,715 Royal,727 S Royal,49 LL Royal,,,,Jeetubhai Images\OS New folder (6) Images\6049 Daman 250.JPG,,high
R2076,71,6049,neck+daman+astin,yellow,715 Royal,701 Royal,727 S Royal,49 LL Royal,,,,Jeetubhai Images\OS New folder (6) Images\6049 Daman 250.JPG,,high
R2077,71,8008,kp,green,713 Raj,118 LL Royal,35 S Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8008 KP 400.JPG,,high
R2078,71,8008,kp,pink,,118 LL Royal,35 S Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8008 KP 400.JPG,,medium
R2079,71,8008,kp,yellow,105 R Raj,118 LL Royal,35 S Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8008 KP 400.JPG,,high
R2080,71,8016,neck+border,cream,143 Raj,766 Royal,White,33 S Royal,110 L Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2081,71,8016,neck+border,peach,17 Royal,130 D Royal,127 L Raj,49 W Royal,731 Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2082,71,8016,neck+border,pink,17 N Royal,75 Royal,43 L Royal,49 U Royal,29 Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2083,71,8016,neck+border,rama,357 Royal,188 Raj,812 Royal,49 U Royal,313 Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2084,71,8016,neck+border,rust,722 D Royal,341 Royal,78 Raj,49 U Royal,313 Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2085,71,8016,neck+border,wine,117 Royal,188 Raj,727 L Royal,49 U Royal,313 Royal,,,Jeetubhai Images\OS New folder (8) Images\8016 BORDER 250.JPG|Jeetubhai Images\OS New folder (8) Images\8016 Nake P1 450.JPG,,high
R2086,71,8017,body+border,cream,75 Royal,4 Raj,117 Royal,35 L Royal,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2087,71,8017,body+border,gajri,117 Royal,71 Royal,88 T Raj,62 Royal,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2088,71,8017,body+border,grey,313 Royal,775 Royal,711 Royal,188 T Raj,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2089,71,8017,body+border,light green,731 Royal,35 Royal,357 Royal,311 Royal,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2090,71,8017,body+border,pink,17 N Royal,29 Royal,711 Royal,130 D Royal,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2091,71,8017,body+border,rama,29 Royal,412 Royal,789 DD Royal,188 Raj,,,,Jeetubhai Images\OS New folder (8) Images\8017 BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Big BORDER 200.JPG|Jeetubhai Images\OS New folder (8) Images\8017 Body P1 450.JPG,,high
R2092,71,8038,neck,green,118 LL Royal,35 S Royal,713 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R2093,71,8038,neck,pink,118 LL Royal,35 S Royal,8 L Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R2094,71,8038,neck,yellow,118 LL Royal,35 S Royal,105 R Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R2095,71,8072,kp,blue,104 L Royal,190 Raj,104 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8072 KP 400.BMP,,high
R2096,71,8072,kp,rust,74 N Raj,190 Raj,722 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8072 KP 400.BMP,,high
R2097,71,8072,kp,yellow,706 Royal,190 Raj,707 D Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8072 KP 400.BMP,,high
R2098,71,8073,kp,blue,130 Royal,727 Raj,49 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8073 KP 400.BMP,,high
R2099,71,8073,kp,orange,779 Royal,143 Raj,49 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8073 KP 400.BMP,,high
R2100,71,8073,kp,pink,762 Royal,702 Raj,49 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8073 KP 400.BMP,,high
R2104,72,7066,kp,blue,188 T Raj,810 L Raj,118 LL Royal,,,,jari,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,,high
R2105,72,7066,kp,peach,766 Royal,342 R Raj,118 LL Royal,,,,jari,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,,high
R2106,72,7066,kp,yellow,810 L Raj,790 Raj,118 LL Royal,,,,jari,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,,high
R2122,72,8074,kp,green,820 Royal,MD Royal,341 R Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8074 KP 400.BMP,,high
R2123,72,8074,kp,red,727 L Royal,792 Royal,68 Royal,,,,jari,Jeetubhai Images\OS New folder (8) Images\8074 KP 400.BMP,,high
R2124,72,8074,kp,yellow,334 Raj,110 D Raj,104 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8074 KP 400.BMP,,high
R2128,72,8076,neck,green,335 Royal,MD Royal,103 Royal,,,,jari,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R2129,72,8076,neck,orange,335 Royal,110 NL Royal,95 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R2130,72,8076,neck,pink,335 Royal,102 N Royal,47 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R2137,73,6084,kp,blue,49 L Royal,190 Raj,76 Royal,,,,,Jeetubhai Images\OS New folder (6) Images\6084 KP 250.JPG,,high
R2138,73,6084,kp,green,49 L Royal,190 Raj,839 Royal,,,,,Jeetubhai Images\OS New folder (6) Images\6084 KP 250.JPG,,high
R2139,73,6084,kp,orange,49 L Royal,190 Raj,732 Royal,,,,,Jeetubhai Images\OS New folder (6) Images\6084 KP 250.JPG,,high
R2140,73,7034,kp,blue,710 Royal,722 Raj,721 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7034 KP 200.JPG,,high
R2141,73,7034,kp,green,702 D Royal,103 Royal,704 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7034 KP 200.JPG,,high
R2142,73,7034,kp,orange,305 Raj,48 D Royal,809 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7034 KP 200.JPG,,high
R2143,73,7050,kp,light green,75 N Raj,325 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7050 KP 250.JPG,,medium
