design_no,part_raw,part_clean,image_path,filename
1227,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1227 Border 200.JPG,1227 Border 200.JPG
1227,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1227 Neck 400.JPG,1227 Neck 400.JPG
1228,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1228 Astin 400.JPG,1228 Astin 400.JPG
1228,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1228 Neck 400.JPG,1228 Neck 400.JPG
1229,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1229 Astin 400.JPG,1229 Astin 400.JPG
1229,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1229 Neck 400.JPG,1229 Neck 400.JPG
1230,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1230 Border 200.JPG,1230 Border 200.JPG
1230,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1230 Neck 400.JPG,1230 Neck 400.JPG
1231,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1231 Astin 400.JPG,1231 Astin 400.JPG
1231,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1231 Border 200.JPG,1231 Border 200.JPG
1231,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1231 Neck 400.JPG,1231 Neck 400.JPG
1232,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1232 Astin 400.JPG,1232 Astin 400.JPG
1232,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1232 Border 200.JPG,1232 Border 200.JPG
1232,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1232 Neck 400.JPG,1232 Neck 400.JPG
1233,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1233 Astin 400.JPG,1233 Astin 400.JPG
1233,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1233 Neck 400.JPG,1233 Neck 400.JPG
1234,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1234 Border 200.JPG,1234 Border 200.JPG
1234,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1234 Neck 400.JPG,1234 Neck 400.JPG
1235,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1235 Border 200.JPG,1235 Border 200.JPG
1235,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1235 Neck 400.JPG,1235 Neck 400.JPG
1236,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1236 Border 200.JPG,1236 Border 200.JPG
1236,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1236 Neck 400.JPG,1236 Neck 400.JPG
1237,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1237 Border 200.JPG,1237 Border 200.JPG
1237,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1237 Neck 400.JPG,1237 Neck 400.JPG
1238,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1238 Border 200.JPG,1238 Border 200.JPG
1238,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1238 Neck 400.JPG,1238 Neck 400.JPG
1239,Astin Border,Astin Border,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG,1239 Astin Border.JPG
1239,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG,1239 Border 200.JPG
1239,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,1239 Neck 400.JPG
