recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2010,69,7029,body+daman+border,,109 Royal,357 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7029 Body  400.BMP|Jeetubhai Images\OS New folder (7) Images\7029 Body  400.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Border 200.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Daman.JPG,80 Pcs,high
R2011,69,7029,body+daman+border,,109 Royal,75 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7029 Body  400.BMP|Jeetubhai Images\OS New folder (7) Images\7029 Body  400.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Border 200.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Daman.JPG,80 Pcs,high
R2012,69,7029,body+daman+border,,109 Royal,810 L Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7029 Body  400.BMP|Jeetubhai Images\OS New folder (7) Images\7029 Body  400.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Border 200.JPG|Jeetubhai Images\OS New folder (7) Images\7029 Daman.JPG,86 Pcs,high
R2016,69,7098,neck,,335 Royal,188 T Raj,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,104 Pcs,high
R2017,69,7098,neck,,335 Royal,357 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,109 Pcs,high
R2018,69,7098,neck,,335 Royal,75 N Raj,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,109 Pcs,high
R2019,69,8010,neck,,190 Raj,309 Royal,114 Raj,,,tikli,jari,Jeetubhai Images\OS New folder (8) Images\8010 Nake 250.JPG,,high
R2020,69,8010,neck,,190 Raj,363 Raj,186 Raj,,,tikli,jari,Jeetubhai Images\OS New folder (8) Images\8010 Nake 250.JPG,,high
R2021,69,8010,neck,,190 Raj,792 Royal,76 Royal,,,tikli,jari,Jeetubhai Images\OS New folder (8) Images\8010 Nake 250.JPG,,high
R2022,69,8025,neck,,751 Royal,188 T Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8025 Nake 250.JPG,156 Pcs,high
R2023,69,8025,neck,,751 Royal,406 Royal,,,,,,Jeetubhai Images\OS New folder (8) Images\8025 Nake 250.JPG,159 Pcs,high
R2024,69,8025,neck,,751 Royal,838 Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8025 Nake 250.JPG,147 Pcs,high
R2025,69,8060,neck+border,,123 Royal,318 Royal,739 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8060 Neck+Border.BMP|Jeetubhai Images\OS New folder (8) Images\8060 Neck.BMP,Peach-58 Firoji-56 Green-57,high
R2026,69,8078,kp,,751 Royal,188 T Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8078 KP 400.BMP,156 Pcs,high
R2027,69,8078,kp,,751 Royal,406 Royal,,,,,,Jeetubhai Images\OS New folder (8) Images\8078 KP 400.BMP,159 Pcs,high
R2028,69,8078,kp,,751 Royal,838 Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8078 KP 400.BMP,147 Pcs,high
R2029,69,8079,kp,,335 Royal,188 T Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8079 KP 400.BMP,104 Pcs,high
R2030,69,8079,kp,,335 Royal,357 Royal,,,,,,Jeetubhai Images\OS New folder (8) Images\8079 KP 400.BMP,109 Pcs,high
R2031,69,8079,kp,,335 Royal,75 N Raj,,,,,,Jeetubhai Images\OS New folder (8) Images\8079 KP 400.BMP,109 Pcs,high
R2032,69,8081,kp,,130 L Royal,325 Royal,864 Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8081 KP 400.BMP,Blue-178,high
R2033,69,8081,kp,,305 Royal,325 Royal,797 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8081 KP 400.BMP,Yellow-171,high
R2034,69,8081,kp,,805 Royal,324 Royal,936 Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8081 KP 400.BMP,Pink-167,high
R2035,70,7054,neck,,235 Royal,710 D Raj,127 DD Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7054 Nake 250.JPG,,high
R2036,70,7054,neck,,235 Royal,81 Raj,710 D Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7054 Nake 250.JPG,,high
R2037,70,7054,neck,,81 Raj,710 D Raj,235 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7054 Nake 250.JPG,,high
R2041,70,7086,neck,,26 Royal,751 Royal,853 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7086 Nake 400.JPG,,high
R2042,70,7086,neck,,73 N Raj,751 Royal,222 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7086 Nake 400.JPG,,high
R2043,70,7086,neck,,95 N Raj,751 Royal,95 N Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7086 Nake 400.JPG,,high
R2047,70,7089,neck,,143 Raj,49 N Raj,23 T Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7089 Nake 250.JPG,LG,high
R2048,70,7089,neck,,702 Raj,49 N Raj,779 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7089 Nake 250.JPG,,high
R2049,70,7089,neck,,727 Raj,49 N Raj,130 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7089 Nake 250.JPG,,high
R2050,70,8022,neck,,35 Royal,32 Royal,791 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8022 Nake  400.JPG,,high
R2051,70,8022,neck,,35 Royal,32 Royal,61 N Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8022 Nake  400.JPG,,high
R2052,70,8022,neck,,735 Royal,32 Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8022 Nake  400.JPG,,high
R2059,70,8051,kp,,105 D Royal,105 L Royal,702 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8051 KP 200.BMP|Jeetubhai Images\OS New folder (8) Images\8051 KP 400.BMP,96 Pcs,high
R2060,70,8051,kp,,732 D Royal,702 Royal,357 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8051 KP 200.BMP|Jeetubhai Images\OS New folder (8) Images\8051 KP 400.BMP,90 Pcs,high
R2061,70,8051,kp,,MD Royal,766 Raj,722 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8051 KP 200.BMP|Jeetubhai Images\OS New folder (8) Images\8051 KP 400.BMP,88 Pcs,high
R2062,70,8052,neck,,105 L Royal,105 D Royal,702 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8052 Neck 400.BMP,,high
R2063,70,8052,neck,,702 Royal,732 D Royal,357 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8052 Neck 400.BMP,,high
R2064,70,8052,neck,,766 Raj,MD Royal,722 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8052 Neck 400.BMP,,high
R2071,71,5033,neck+border,,315 Royal,1004 D Royal,188 T Raj,,,,jari,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2072,71,5033,neck+border,,315 Royal,1004 D Royal,98 D Raj,,,,jari,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2073,71,5033,neck+border,,315 Royal,235 Royal,722 Raj,,,,jari,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2101,72,7053,kp,,722 DD Raj,842 Royal,8 NL Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7053 KP 200.JPG,,high
R2102,72,7053,kp,,8 NL Royal,732 D Royal,834 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7053 KP 200.JPG,,high
R2103,72,7053,kp,,924 Raj,8 NL Royal,LM Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7053 KP 200.JPG,,high
R2107,72,7069,kp,,188 Raj,105 Raj,334 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,,high
R2108,72,7069,kp,,810 L Raj,358 Royal,334 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,,high
R2109,72,7069,kp,,LML Royal,849 Royal,334 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,,high
R2110,72,8068,kp,,235 Royal,305 D Royal,188 T Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8068 KP.BMP,,high
R2111,72,8068,kp,,235 Royal,66 Raj,145 R Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8068 KP.BMP,,high
R2112,72,8068,kp,,235 Royal,75 Royal,810 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8068 KP.BMP,,high
R2113,72,8069,center panel+border+neck,,110 Royal,710 Royal,707 D Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8069 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck.BMP,,high
